fips,Job Title,OEC,Currently Employed,Job Postings,Earnings,state,county,status
1001,Orderlies,31-1132.00,1,0,24527.56,AL,Autauga County,0
1003,Orderlies,31-1132.00,39,3,28782.71,AL,Baldwin County,0
1005,Orderlies,31-1132.00,0,0,25031.83,AL,Barbour County,0
1007,Orderlies,31-1132.00,2,0,24091.23,AL,Bibb County,0
1009,Orderlies,31-1132.00,1,0,24142.14,AL,Blount County,0
1011,Orderlies,31-1132.00,0,0,24425.96,AL,Bullock County,0
1013,Orderlies,31-1132.00,0,0,24440.21,AL,Butler County,0
1015,Orderlies,31-1132.00,17,0,33535.46,AL,Calhoun County,0
1017,Orderlies,31-1132.00,2,0,28545.33,AL,Chambers County,0
1019,Orderlies,31-1132.00,1,0,24459.39,AL,Cherokee County,0
1021,Orderlies,31-1132.00,1,0,24877.9,AL,Chilton County,0
1023,Orderlies,31-1132.00,0,0,24428.76,AL,Choctaw County,0
1025,Orderlies,31-1132.00,0,0,24425.6,AL,Clarke County,0
1027,Orderlies,31-1132.00,2,0,24446.9,AL,Clay County,0
1029,Orderlies,31-1132.00,0,0,23049.76,AL,Cleburne County,0
1031,Orderlies,31-1132.00,1,0,24616.35,AL,Coffee County,0
1033,Orderlies,31-1132.00,55,0,30520.7,AL,Colbert County,0
1035,Orderlies,31-1132.00,0,0,24426.96,AL,Conecuh County,0
1037,Orderlies,31-1132.00,0,0,24443.85,AL,Coosa County,0
1039,Orderlies,31-1132.00,1,0,24448.56,AL,Covington County,0
1041,Orderlies,31-1132.00,0,0,24836.8,AL,Crenshaw County,0
1043,Orderlies,31-1132.00,9,0,28165.91,AL,Cullman County,0
1045,Orderlies,31-1132.00,0,0,24774.43,AL,Dale County,0
1047,Orderlies,31-1132.00,1,0,24986.97,AL,Dallas County,0
1049,Orderlies,31-1132.00,3,0,24446.43,AL,DeKalb County,0
1051,Orderlies,31-1132.00,2,0,22575.07,AL,Elmore County,0
1053,Orderlies,31-1132.00,1,0,26311.94,AL,Escambia County,0
1055,Orderlies,31-1132.00,13,1,24448.7,AL,Etowah County,0
1057,Orderlies,31-1132.00,2,0,24446.41,AL,Fayette County,0
1059,Orderlies,31-1132.00,3,0,24471.15,AL,Franklin County,0
1061,Orderlies,31-1132.00,1,0,24455.9,AL,Geneva County,0
1063,Orderlies,31-1132.00,0,0,22959.71,AL,Greene County,0
1065,Orderlies,31-1132.00,1,0,24440.56,AL,Hale County,0
1067,Orderlies,31-1132.00,0,0,23342.82,AL,Henry County,0
1069,Orderlies,31-1132.00,24,0,26545.81,AL,Houston County,0
1071,Orderlies,31-1132.00,3,0,24442.91,AL,Jackson County,0
1073,Orderlies,31-1132.00,150,22,27177.77,AL,Jefferson County,0
1075,Orderlies,31-1132.00,0,0,24408.15,AL,Lamar County,0
1077,Orderlies,31-1132.00,43,0,31193.99,AL,Lauderdale County,0
1079,Orderlies,31-1132.00,0,0,25102.27,AL,Lawrence County,0
1081,Orderlies,31-1132.00,1,2,29899.67,AL,Lee County,0
1083,Orderlies,31-1132.00,6,0,27898.47,AL,Limestone County,0
1085,Orderlies,31-1132.00,0,0,22277.52,AL,Lowndes County,0
1087,Orderlies,31-1132.00,0,0,27663.52,AL,Macon County,0
1089,Orderlies,31-1132.00,31,7,32234.15,AL,Madison County,0
1091,Orderlies,31-1132.00,0,0,24392.09,AL,Marengo County,0
1093,Orderlies,31-1132.00,2,0,26418.3,AL,Marion County,0
1095,Orderlies,31-1132.00,7,0,26987.0,AL,Marshall County,0
1097,Orderlies,31-1132.00,54,8,28042.39,AL,Mobile County,0
1099,Orderlies,31-1132.00,0,0,28184.59,AL,Monroe County,0
1101,Orderlies,31-1132.00,25,5,25696.55,AL,Montgomery County,0
1103,Orderlies,31-1132.00,15,2,26809.92,AL,Morgan County,0
1105,Orderlies,31-1132.00,0,0,30097.88,AL,Perry County,0
1107,Orderlies,31-1132.00,1,0,24856.27,AL,Pickens County,0
1109,Orderlies,31-1132.00,0,0,25245.89,AL,Pike County,0
1111,Orderlies,31-1132.00,1,0,24458.99,AL,Randolph County,0
1113,Orderlies,31-1132.00,40,0,28380.38,AL,Russell County,0
1115,Orderlies,31-1132.00,2,0,24385.41,AL,St. Clair County,0
1117,Orderlies,31-1132.00,6,3,24108.44,AL,Shelby County,0
1119,Orderlies,31-1132.00,0,0,28034.4,AL,Sumter County,0
1121,Orderlies,31-1132.00,6,1,24446.06,AL,Talladega County,0
1123,Orderlies,31-1132.00,7,0,24447.92,AL,Tallapoosa County,0
1125,Orderlies,31-1132.00,25,1,25247.21,AL,Tuscaloosa County,0
1127,Orderlies,31-1132.00,5,1,24091.42,AL,Walker County,0
1129,Orderlies,31-1132.00,0,0,23001.65,AL,Washington County,0
1131,Orderlies,31-1132.00,0,0,24372.04,AL,Wilcox County,0
1133,Orderlies,31-1132.00,2,0,24447.71,AL,Winston County,0
2013,Orderlies,31-1132.00,0,0,39914.96,AK,Aleutians East Borough,0
2016,Orderlies,31-1132.00,0,0,38293.38,AK,Aleutians West Census Area,0
2020,Orderlies,31-1132.00,64,4,36238.68,AK,Anchorage Municipality,0
2050,Orderlies,31-1132.00,0,0,39841.73,AK,Bethel Census Area,0
2060,Orderlies,31-1132.00,0,0,39879.49,AK,Bristol Bay Borough,0
2068,Orderlies,31-1132.00,0,0,35001.82,AK,Denali Borough,0
2070,Orderlies,31-1132.00,0,0,39178.1,AK,Dillingham Census Area,0
2090,Orderlies,31-1132.00,0,0,36031.14,AK,Fairbanks North Star Borough,0
2100,Orderlies,31-1132.00,0,0,32361.76,AK,Haines Borough,0
2105,Orderlies,31-1132.00,0,0,32331.51,AK,Hoonah-Angoon Census Area,0
2110,Orderlies,31-1132.00,3,0,33047.19,AK,Juneau City and Borough,0
2122,Orderlies,31-1132.00,2,0,39613.32,AK,Kenai Peninsula Borough,0
2130,Orderlies,31-1132.00,0,0,36974.02,AK,Ketchikan Gateway Borough,0
2150,Orderlies,31-1132.00,0,0,35523.83,AK,Kodiak Island Borough,0
2164,Orderlies,31-1132.00,0,0,37817.84,AK,Lake and Peninsula Borough,0
2170,Orderlies,31-1132.00,9,0,33674.0,AK,Matanuska-Susitna Borough,0
2180,Orderlies,31-1132.00,0,0,39914.96,AK,Nome Census Area,0
2185,Orderlies,31-1132.00,0,0,39881.51,AK,North Slope Borough,0
2188,Orderlies,31-1132.00,0,0,37063.46,AK,Northwest Arctic Borough,0
2195,Orderlies,31-1132.00,0,0,32330.28,AK,Petersburg Borough,0
2198,Orderlies,31-1132.00,0,0,36208.45,AK,Prince of Wales-Hyder Census Area,0
2220,Orderlies,31-1132.00,0,0,34055.9,AK,Sitka City and Borough,0
2230,Orderlies,31-1132.00,0,0,32331.51,AK,Skagway Municipality,0
2240,Orderlies,31-1132.00,0,0,37519.23,AK,Southeast Fairbanks Census Area,0
2261,Orderlies,31-1132.00,0,0,33748.1,AK,Valdez-Cordova Census Area,0
2275,Orderlies,31-1132.00,0,0,28865.73,AK,Wrangell City and Borough,0
2282,Orderlies,31-1132.00,0,0,32331.51,AK,Yakutat City and Borough,0
2290,Orderlies,31-1132.00,0,0,39895.27,AK,Yukon-Koyukuk Census Area,0
4001,Orderlies,31-1132.00,0,0,31692.13,AZ,Apache County,0
4003,Orderlies,31-1132.00,0,0,29714.1,AZ,Cochise County,0
4005,Orderlies,31-1132.00,25,1,36109.68,AZ,Coconino County,0
4007,Orderlies,31-1132.00,0,0,30211.33,AZ,Gila County,0
4009,Orderlies,31-1132.00,0,0,29736.9,AZ,Graham County,0
4011,Orderlies,31-1132.00,0,0,22830.71,AZ,Greenlee County,0
4012,Orderlies,31-1132.00,0,0,29986.5,AZ,La Paz County,0
4013,Orderlies,31-1132.00,577,41,34638.45,AZ,Maricopa County,0
4015,Orderlies,31-1132.00,0,1,30486.87,AZ,Mohave County,0
4017,Orderlies,31-1132.00,0,0,32204.21,AZ,Navajo County,0
4019,Orderlies,31-1132.00,163,20,32632.28,AZ,Pima County,0
4021,Orderlies,31-1132.00,17,0,32676.28,AZ,Pinal County,0
4023,Orderlies,31-1132.00,0,0,30736.03,AZ,Santa Cruz County,0
4025,Orderlies,31-1132.00,28,1,28163.41,AZ,Yavapai County,0
4027,Orderlies,31-1132.00,17,1,36721.48,AZ,Yuma County,0
5001,Orderlies,31-1132.00,0,0,24880.64,AR,Arkansas County,0
5003,Orderlies,31-1132.00,0,0,26301.82,AR,Ashley County,0
5005,Orderlies,31-1132.00,6,0,29785.21,AR,Baxter County,0
5007,Orderlies,31-1132.00,21,3,30303.3,AR,Benton County,1
5009,Orderlies,31-1132.00,11,0,31973.97,AR,Boone County,0
5011,Orderlies,31-1132.00,0,0,24754.63,AR,Bradley County,0
5013,Orderlies,31-1132.00,0,0,22830.71,AR,Calhoun County,0
5015,Orderlies,31-1132.00,1,0,26259.33,AR,Carroll County,0
5017,Orderlies,31-1132.00,0,0,26277.96,AR,Chicot County,0
5019,Orderlies,31-1132.00,2,0,24781.59,AR,Clark County,0
5021,Orderlies,31-1132.00,0,0,24649.98,AR,Clay County,0
5023,Orderlies,31-1132.00,1,0,26504.78,AR,Cleburne County,0
5025,Orderlies,31-1132.00,0,0,40587.93,AR,Cleveland County,0
5027,Orderlies,31-1132.00,0,0,24982.89,AR,Columbia County,0
5029,Orderlies,31-1132.00,1,0,29885.11,AR,Conway County,0
5031,Orderlies,31-1132.00,1,3,27252.03,AR,Craighead County,0
5033,Orderlies,31-1132.00,3,0,26465.72,AR,Crawford County,0
5035,Orderlies,31-1132.00,0,0,23449.05,AR,Crittenden County,0
5037,Orderlies,31-1132.00,1,0,24762.29,AR,Cross County,0
5039,Orderlies,31-1132.00,0,0,30369.25,AR,Dallas County,0
5041,Orderlies,31-1132.00,0,0,25143.36,AR,Desha County,0
5043,Orderlies,31-1132.00,0,0,28404.5,AR,Drew County,0
5045,Orderlies,31-1132.00,23,0,27157.46,AR,Faulkner County,0
5047,Orderlies,31-1132.00,1,0,24781.89,AR,Franklin County,0
5049,Orderlies,31-1132.00,2,0,26314.34,AR,Fulton County,0
5051,Orderlies,31-1132.00,10,3,29914.76,AR,Garland County,0
5053,Orderlies,31-1132.00,0,0,24857.54,AR,Grant County,0
5055,Orderlies,31-1132.00,5,0,24770.96,AR,Greene County,0
5057,Orderlies,31-1132.00,0,0,24687.93,AR,Hempstead County,0
5059,Orderlies,31-1132.00,1,0,24767.07,AR,Hot Spring County,0
5061,Orderlies,31-1132.00,0,0,24840.92,AR,Howard County,0
5063,Orderlies,31-1132.00,5,0,31951.46,AR,Independence County,0
5065,Orderlies,31-1132.00,0,0,26206.87,AR,Izard County,0
5067,Orderlies,31-1132.00,1,0,26254.1,AR,Jackson County,0
5069,Orderlies,31-1132.00,9,2,29472.72,AR,Jefferson County,0
5071,Orderlies,31-1132.00,4,0,24783.54,AR,Johnson County,0
5073,Orderlies,31-1132.00,0,0,28378.8,AR,Lafayette County,0
5075,Orderlies,31-1132.00,0,0,24526.26,AR,Lawrence County,0
5077,Orderlies,31-1132.00,0,0,24439.97,AR,Lee County,0
5079,Orderlies,31-1132.00,0,0,22830.71,AR,Lincoln County,0
5081,Orderlies,31-1132.00,0,0,23850.03,AR,Little River County,0
5083,Orderlies,31-1132.00,1,0,24781.73,AR,Logan County,0
5085,Orderlies,31-1132.00,2,0,24778.52,AR,Lonoke County,0
5087,Orderlies,31-1132.00,0,0,25545.56,AR,Madison County,0
5089,Orderlies,31-1132.00,0,0,30237.96,AR,Marion County,0
5091,Orderlies,31-1132.00,0,0,26160.73,AR,Miller County,0
5093,Orderlies,31-1132.00,1,0,27804.27,AR,Mississippi County,0
5095,Orderlies,31-1132.00,0,0,29812.73,AR,Monroe County,0
5097,Orderlies,31-1132.00,0,0,22830.71,AR,Montgomery County,0
5099,Orderlies,31-1132.00,0,0,24757.37,AR,Nevada County,0
5101,Orderlies,31-1132.00,0,0,26230.44,AR,Newton County,0
5103,Orderlies,31-1132.00,0,0,26066.85,AR,Ouachita County,0
5105,Orderlies,31-1132.00,0,0,24760.82,AR,Perry County,0
5107,Orderlies,31-1132.00,0,0,29983.03,AR,Phillips County,0
5109,Orderlies,31-1132.00,0,0,24752.87,AR,Pike County,0
5111,Orderlies,31-1132.00,0,0,22979.33,AR,Poinsett County,0
5113,Orderlies,31-1132.00,2,0,26295.42,AR,Polk County,0
5115,Orderlies,31-1132.00,4,0,30579.3,AR,Pope County,0
5117,Orderlies,31-1132.00,0,0,24777.52,AR,Prairie County,0
5119,Orderlies,31-1132.00,213,8,27658.86,AR,Pulaski County,0
5121,Orderlies,31-1132.00,1,0,24791.53,AR,Randolph County,0
5123,Orderlies,31-1132.00,2,0,24739.45,AR,St. Francis County,0
5125,Orderlies,31-1132.00,13,2,26768.1,AR,Saline County,0
5127,Orderlies,31-1132.00,0,0,26196.73,AR,Scott County,0
5129,Orderlies,31-1132.00,0,0,25974.89,AR,Searcy County,0
5131,Orderlies,31-1132.00,59,0,29650.24,AR,Sebastian County,0
5133,Orderlies,31-1132.00,0,0,25067.0,AR,Sevier County,0
5135,Orderlies,31-1132.00,0,0,27776.32,AR,Sharp County,0
5137,Orderlies,31-1132.00,1,0,26196.03,AR,Stone County,0
5139,Orderlies,31-1132.00,0,0,26419.4,AR,Union County,0
5141,Orderlies,31-1132.00,0,0,31850.45,AR,Van Buren County,0
5143,Orderlies,31-1132.00,30,0,27214.36,AR,Washington County,0
5145,Orderlies,31-1132.00,5,5,28456.24,AR,White County,0
5147,Orderlies,31-1132.00,0,0,22830.71,AR,Woodruff County,0
5149,Orderlies,31-1132.00,1,0,24781.15,AR,Yell County,0
6001,Orderlies,31-1132.00,159,1,62635.77,CA,Alameda County,0
6003,Orderlies,31-1132.00,0,0,33962.88,CA,Alpine County,0
6005,Orderlies,31-1132.00,3,0,44817.16,CA,Amador County,0
6007,Orderlies,31-1132.00,1,1,41254.16,CA,Butte County,0
6009,Orderlies,31-1132.00,2,1,42742.43,CA,Calaveras County,0
6011,Orderlies,31-1132.00,0,0,33310.86,CA,Colusa County,0
6013,Orderlies,31-1132.00,96,2,65041.14,CA,Contra Costa County,0
6015,Orderlies,31-1132.00,3,0,41608.17,CA,Del Norte County,0
6017,Orderlies,31-1132.00,10,1,54070.17,CA,El Dorado County,0
6019,Orderlies,31-1132.00,193,11,36936.09,CA,Fresno County,0
6021,Orderlies,31-1132.00,2,0,41595.57,CA,Glenn County,0
6023,Orderlies,31-1132.00,12,1,42995.97,CA,Humboldt County,0
6025,Orderlies,31-1132.00,0,1,43874.58,CA,Imperial County,0
6027,Orderlies,31-1132.00,2,0,41596.21,CA,Inyo County,0
6029,Orderlies,31-1132.00,81,7,40293.71,CA,Kern County,0
6031,Orderlies,31-1132.00,1,0,41475.8,CA,Kings County,0
6033,Orderlies,31-1132.00,7,0,41596.39,CA,Lake County,0
6035,Orderlies,31-1132.00,2,0,41599.11,CA,Lassen County,0
6037,Orderlies,31-1132.00,1535,65,43161.73,CA,Los Angeles County,0
6039,Orderlies,31-1132.00,25,0,41606.99,CA,Madera County,0
6041,Orderlies,31-1132.00,22,1,63463.92,CA,Marin County,0
6043,Orderlies,31-1132.00,1,0,43110.28,CA,Mariposa County,0
6045,Orderlies,31-1132.00,10,0,41597.23,CA,Mendocino County,0
6047,Orderlies,31-1132.00,11,3,41579.45,CA,Merced County,0
6049,Orderlies,31-1132.00,0,0,41589.57,CA,Modoc County,0
6051,Orderlies,31-1132.00,2,0,41607.41,CA,Mono County,0
6053,Orderlies,31-1132.00,34,7,50860.65,CA,Monterey County,0
6055,Orderlies,31-1132.00,12,0,43976.43,CA,Napa County,0
6057,Orderlies,31-1132.00,5,0,45241.04,CA,Nevada County,0
6059,Orderlies,31-1132.00,416,32,40954.01,CA,Orange County,0
6061,Orderlies,31-1132.00,45,2,59657.55,CA,Placer County,0
6063,Orderlies,31-1132.00,0,0,39877.59,CA,Plumas County,0
6065,Orderlies,31-1132.00,280,18,51432.03,CA,Riverside County,0
6067,Orderlies,31-1132.00,192,10,61164.72,CA,Sacramento County,0
6069,Orderlies,31-1132.00,4,0,51538.31,CA,San Benito County,0
6071,Orderlies,31-1132.00,361,10,51143.35,CA,San Bernardino County,0
6073,Orderlies,31-1132.00,354,32,39812.98,CA,San Diego County,0
6075,Orderlies,31-1132.00,156,5,66854.74,CA,San Francisco County,0
6077,Orderlies,31-1132.00,54,3,44973.57,CA,San Joaquin County,0
6079,Orderlies,31-1132.00,12,0,44186.43,CA,San Luis Obispo County,0
6081,Orderlies,31-1132.00,40,5,65533.18,CA,San Mateo County,0
6083,Orderlies,31-1132.00,9,15,41476.57,CA,Santa Barbara County,0
6085,Orderlies,31-1132.00,281,7,57408.07,CA,Santa Clara County,0
6087,Orderlies,31-1132.00,18,0,51077.35,CA,Santa Cruz County,0
6089,Orderlies,31-1132.00,19,1,44115.36,CA,Shasta County,0
6091,Orderlies,31-1132.00,0,0,33088.57,CA,Sierra County,0
6093,Orderlies,31-1132.00,6,0,41596.56,CA,Siskiyou County,0
6095,Orderlies,31-1132.00,31,0,51304.69,CA,Solano County,0
6097,Orderlies,31-1132.00,38,0,47625.34,CA,Sonoma County,0
6099,Orderlies,31-1132.00,52,0,45621.96,CA,Stanislaus County,0
6101,Orderlies,31-1132.00,2,0,41749.39,CA,Sutter County,0
6103,Orderlies,31-1132.00,5,1,41600.84,CA,Tehama County,0
6105,Orderlies,31-1132.00,1,0,41590.25,CA,Trinity County,0
6107,Orderlies,31-1132.00,32,2,41606.86,CA,Tulare County,0
6109,Orderlies,31-1132.00,7,2,41594.8,CA,Tuolumne County,0
6111,Orderlies,31-1132.00,48,6,47507.91,CA,Ventura County,0
6113,Orderlies,31-1132.00,16,0,54960.22,CA,Yolo County,0
6115,Orderlies,31-1132.00,13,3,48895.86,CA,Yuba County,0
8001,Orderlies,31-1132.00,65,11,33699.21,CO,Adams County,0
8003,Orderlies,31-1132.00,4,0,31001.14,CO,Alamosa County,0
8005,Orderlies,31-1132.00,29,10,32549.95,CO,Arapahoe County,0
8007,Orderlies,31-1132.00,0,0,28706.17,CO,Archuleta County,0
8009,Orderlies,31-1132.00,0,0,0.0,CO,Baca County,0
8011,Orderlies,31-1132.00,0,0,28924.32,CO,Bent County,0
8013,Orderlies,31-1132.00,106,6,29398.55,CO,Boulder County,0
8014,Orderlies,31-1132.00,2,0,33198.28,CO,Broomfield County,0
8015,Orderlies,31-1132.00,0,0,30163.27,CO,Chaffee County,0
8017,Orderlies,31-1132.00,0,0,28680.86,CO,Cheyenne County,0
8019,Orderlies,31-1132.00,0,0,30226.32,CO,Clear Creek County,0
8021,Orderlies,31-1132.00,1,0,30037.11,CO,Conejos County,0
8023,Orderlies,31-1132.00,0,0,40490.82,CO,Costilla County,0
8025,Orderlies,31-1132.00,0,0,32705.22,CO,Crowley County,0
8027,Orderlies,31-1132.00,0,0,28690.96,CO,Custer County,0
8029,Orderlies,31-1132.00,0,0,29275.09,CO,Delta County,0
8031,Orderlies,31-1132.00,126,8,33671.89,CO,Denver County,0
